Lon;Lat;ID;W_p;W_max;alpha;m2;Ks;Kc;;
12.42;43.64;84;0.7;100;12.23049623;13.58944026;6.952569751;1.4;;
12.42;43.67;85;0.7;100;12.28207054;13.64674504;6.728237466;1.4;;
12.42;43.7;86;0.7;100;12.18774123;13.5419347;6.913853519;1.4;;
12.42;43.73;87;0.7;100;12.09327974;13.43697749;7.157730126;1.4;;
12.42;43.76;88;0.7;100;12.02849298;13.3649922;7.368552203;1.4;;
12.42;43.79;89;0.7;100;11.9830442;13.31449356;7.561357655;1.4;;
12.42;43.82;90;0.7;100;11.76892041;13.07657823;8.406292599;1.4;;
12.42;43.85;91;0.7;100;10.7645648;11.96062755;12.80719322;1.4;;
12.42;43.88;92;0.7;100;11.67078489;12.96753877;8.930937692;1.4;;
12.45;43.55;93;0.7;100;12.34886544;13.7209616;7.912135527;1.4;;
12.45;43.58;94;0.7;100;12.28778113;13.65309014;7.541910503;1.4;;
12.45;43.61;95;0.7;100;12.25283855;13.61426506;7.209904113;1.4;;
12.45;43.64;96;0.7;100;12.24678489;13.60753877;6.992639907;1.4;;
12.45;43.67;97;0.7;100;12.23935282;13.59928092;6.89516389;1.4;;
12.45;43.7;98;0.7;100;12.2238135;13.58201499;6.868495137;1.4;;
12.45;43.73;99;0.7;100;12.22507816;13.58342018;6.82458239;1.4;;
12.45;43.76;100;0.7;100;12.18668125;13.54075694;6.922631326;1.4;;
12.45;43.79;101;0.7;100;13.04942314;14.49935904;7.355211163;1.4;;
12.45;43.82;102;0.7;100;11.9790206;13.31002289;7.672127818;1.4;;
12.45;43.85;103;0.7;100;11.77479441;13.0831049;8.460346869;1.4;;
12.45;43.88;104;0.7;100;11.7838348;13.09314977;8.460916748;1.4;;
12.48;43.55;105;0.7;100;12.32232072;13.69146746;7.322964554;1.4;;
12.48;43.58;106;0.7;100;12.30119651;13.66799612;7.21717682;1.4;;
12.48;43.61;107;0.7;100;12.30483634;13.67204038;6.984416173;1.4;;
12.48;43.64;108;0.7;100;12.33611566;13.70679518;6.719248158;1.4;;
12.48;43.67;109;0.7;100;12.29848938;13.6649882;6.75225457;1.4;;
12.48;43.7;110;0.7;100;12.31988535;13.6887615;6.628614669;1.4;;
12.48;43.73;111;0.7;100;12.27549615;13.63944017;6.86996595;1.4;;
12.48;43.76;112;0.7;100;12.27989764;13.64433071;6.691581279;1.4;;
12.48;43.79;113;0.7;100;12.21027506;13.56697229;6.901358981;1.4;;
12.48;43.82;114;0.7;100;12.08102313;13.42335903;7.345749848;1.4;;
12.48;43.85;115;0.7;100;11.97303817;13.30337575;7.744147255;1.4;;
12.48;43.88;116;0.7;100;11.92847141;13.25385712;7.923982194;1.4;;
12.51;43.52;117;0.7;100;12.52381011;13.91534457;6.588702545;1.4;;
12.51;43.55;118;0.7;100;12.40771084;13.78634538;6.852393697;1.4;;
12.51;43.58;119;0.7;100;12.35184067;13.72426741;6.90643883;1.4;;
12.51;43.61;120;0.7;100;12.38736676;13.76374084;6.653405619;1.4;;
12.51;43.64;121;0.7;100;13.07814879;14.53127643;6.711810275;1.4;;
12.51;43.67;122;0.7;100;12.39318626;13.77020695;6.489642474;1.4;;
12.51;43.7;123;0.7;100;12.36012848;13.73347609;6.574416778;1.4;;
12.51;43.73;124;0.7;100;12.37050389;13.74500432;6.507472127;1.4;;
12.51;43.76;125;0.7;100;12.29430124;13.66033471;6.706373334;1.4;;
12.51;43.79;126;0.7;100;12.24044151;13.60049057;6.845126321;1.4;;
12.51;43.82;127;0.7;100;12.21417044;13.57130049;6.904486547;1.4;;
12.51;43.85;128;0.7;100;12.12535515;13.47261683;7.231006515;1.4;;
12.51;43.88;129;0.7;100;12.06370602;13.4041178;7.465760104;1.4;;
12.54;43.49;130;0.7;100;12.57818642;13.97576268;6.331855396;1.4;;
12.54;43.52;131;0.7;100;12.41045059;13.78938954;6.596086368;1.4;;
12.54;43.55;132;0.7;100;12.50390672;13.89322969;6.488297984;1.4;;
12.54;43.58;133;0.7;100;12.40241216;13.78045796;6.657963256;1.4;;
12.54;43.61;134;0.7;100;12.40093621;13.77881801;6.587657667;1.4;;
12.54;43.64;135;0.7;100;12.44444987;13.82716652;6.400444211;1.4;;
12.54;43.67;136;0.7;100;12.44975625;13.8330625;6.409895196;1.4;;
12.54;43.7;137;0.7;100;12.49215725;13.88017472;6.347900857;1.4;;
12.54;43.73;138;0.7;100;12.4125735;13.79174833;6.495204821;1.4;;
12.54;43.76;139;0.7;100;12.3388615;13.70984611;6.639655922;1.4;;
12.54;43.79;140;0.7;100;12.33261663;13.70290737;6.583053144;1.4;;
12.54;43.82;141;0.7;100;12.9426783;14.38075367;6.808179578;1.4;;
12.54;43.85;142;0.7;100;12.28010637;13.64456264;6.759447317;1.4;;
12.57;43.46;143;0.7;100;12.40304527;13.78116141;6.534664754;1.4;;
12.57;43.49;144;0.7;100;12.47434151;13.86037946;6.40462566;1.4;;
12.57;43.52;145;0.7;100;12.53425207;13.92694675;6.245560167;1.4;;
12.57;43.55;146;0.7;100;12.46543208;13.85048009;6.283529342;1.4;;
12.57;43.58;147;0.7;100;12.42438957;13.8048773;6.437906201;1.4;;
12.57;43.61;148;0.7;100;12.41977978;13.79975531;6.48057815;1.4;;
12.57;43.64;149;0.7;100;12.4438961;13.82655122;6.428788067;1.4;;
12.57;43.67;150;0.7;100;12.54733912;13.94148791;6.241929238;1.4;;
12.57;43.7;151;0.7;100;12.4447701;13.82752233;6.472942128;1.4;;
12.57;43.73;152;0.7;100;12.53347774;13.92608637;6.278233551;1.4;;
12.57;43.76;153;0.7;100;12.40906454;13.78784949;6.505555313;1.4;;
12.57;43.79;154;0.7;100;12.38645546;13.76272829;6.520208298;1.4;;
12.57;43.82;155;0.7;100;12.44255239;13.82505821;6.373298293;1.4;;
12.57;43.85;156;0.7;100;12.49425397;13.88250441;6.399789344;1.4;;
12.57;43.88;157;0.7;100;12.39902938;13.77669931;6.633721928;1.4;;
12.6;43.46;158;0.7;100;12.37999848;13.75555387;6.476565168;1.4;;
12.6;43.49;159;0.7;100;12.40851109;13.78723455;6.397264498;1.4;;
12.6;43.52;160;0.7;100;12.42847828;13.80942031;6.227469899;1.4;;
12.6;43.55;161;0.7;100;12.39425398;13.77139331;6.419564682;1.4;;
12.6;43.58;162;0.7;100;12.43033368;13.81148187;6.240591836;1.4;;
12.6;43.61;163;0.7;100;12.44467086;13.82741207;6.34273829;1.4;;
12.6;43.64;164;0.7;100;12.47440011;13.86044457;6.326789508;1.4;;
12.6;43.67;165;0.7;100;12.55941123;13.95490136;6.191567765;1.4;;
12.6;43.7;166;0.7;100;12.68829606;14.09810673;5.972432758;1.4;;
12.6;43.73;167;0.7;100;12.57223717;13.96915241;6.191017054;1.4;;
12.6;43.76;168;0.7;100;12.4752196;13.86135511;6.375096444;1.4;;
12.6;43.79;169;0.7;100;12.45081013;13.83423348;6.425161159;1.4;;
12.6;43.82;170;0.7;100;12.55577075;13.95085639;6.279928079;1.4;;
12.6;43.85;171;0.7;100;12.42403627;13.80448474;6.55582629;1.4;;
12.63;43.43;172;0.7;100;12.32248377;13.69164864;6.475371897;1.4;;
12.63;43.46;173;0.7;100;12.32386754;13.69318615;6.418676435;1.4;;
12.63;43.49;174;0.7;100;12.33343298;13.70381443;6.349575235;1.4;;
12.63;43.52;175;0.7;100;12.36746759;13.74163066;6.259786332;1.4;;
12.63;43.55;176;0.7;100;12.40553261;13.78392512;6.149446072;1.4;;
12.63;43.58;177;0.7;100;12.45158579;13.83509532;6.158927305;1.4;;
12.63;43.61;178;0.7;100;12.50695614;13.89661793;6.099752149;1.4;;
12.63;43.64;179;0.7;100;12.52049494;13.91166104;6.156671285;1.4;;
12.63;43.67;180;0.7;100;12.62212543;14.02458382;6.026581383;1.4;;
12.63;43.7;181;0.7;100;12.51142176;13.90157973;6.284108524;1.4;;
12.63;43.73;182;0.7;100;12.6380838;14.04231534;6.045277455;1.4;;
12.63;43.76;183;0.7;100;12.53285475;13.92539417;6.251391948;1.4;;
12.63;43.79;184;0.7;100;12.51273743;13.90304159;6.302418873;1.4;;
12.63;43.82;185;0.7;100;12.5476335;13.941815;6.26833216;1.4;;
12.66;43.46;186;0.7;100;12.20063085;13.5562565;6.302009215;1.4;;
12.66;43.49;187;0.7;100;12.10173648;13.44637387;6.180584475;1.4;;
12.66;43.52;188;0.7;100;12.24822154;13.60913505;6.192749132;1.4;;
12.66;43.55;189;0.7;100;12.37319776;13.74799752;6.168009064;1.4;;
12.66;43.58;190;0.7;100;12.48214278;13.86904753;6.021710342;1.4;;
12.66;43.61;191;0.7;100;13.08476057;14.53862286;6.242018386;1.4;;
12.66;43.64;192;0.7;100;12.56696413;13.96329347;5.964796105;1.4;;
12.66;43.67;193;0.7;100;12.58905575;13.98783972;6.01153839;1.4;;
12.66;43.7;194;0.7;100;12.65920609;14.06578455;5.931747394;1.4;;
12.66;43.73;195;0.7;100;12.61069732;14.01188591;6.054895992;1.4;;
12.66;43.76;196;0.7;100;12.59257411;13.99174901;6.109739246;1.4;;
12.66;43.79;197;0.7;100;12.63523668;14.03915186;6.04361384;1.4;;
12.66;43.82;198;0.7;100;12.58891232;13.98768035;6.137955841;1.4;;
12.69;43.43;199;0.7;100;12.23133145;13.59036828;6.338893498;1.4;;
12.69;43.46;200;0.7;100;12.03192352;13.36880392;6.161077174;1.4;;
12.69;43.49;201;0.7;100;10.46958366;11.63287073;6.338773988;1.4;;
12.69;43.52;202;0.7;100;12.10963411;13.45514901;6.06770149;1.4;;
12.69;43.55;203;0.7;100;12.34737044;13.71930049;6.099046764;1.4;;
12.69;43.58;204;0.7;100;12.46365608;13.84850676;6.01657909;1.4;;
12.69;43.61;205;0.7;100;12.54515742;13.9390638;5.895794449;1.4;;
12.69;43.64;206;0.7;100;12.55945219;13.95494688;5.918546552;1.4;;
12.69;43.67;207;0.7;100;12.58159618;13.97955131;5.874162572;1.4;;
12.69;43.7;208;0.7;100;12.59076246;13.98973607;5.957407883;1.4;;
12.69;43.73;209;0.7;100;12.59455575;13.99395084;6.025963704;1.4;;
12.69;43.76;210;0.7;100;12.66691743;14.0743527;5.931737705;1.4;;
12.69;43.79;211;0.7;100;12.55545399;13.95050443;6.163193888;1.4;;
12.69;43.82;212;0.7;100;12.67997178;14.08885753;5.91107332;1.4;;
12.69;43.85;213;0.7;100;12.57256267;13.96951408;6.061204818;1.4;;
12.72;43.46;214;0.7;100;12.1374166;13.48601845;6.185012156;1.4;;
12.72;43.49;215;0.7;100;12.04732389;13.38591543;6.058102003;1.4;;
12.72;43.52;216;0.7;100;12.21931268;13.57701409;6.058371132;1.4;;
12.72;43.55;217;0.7;100;12.39585521;13.77317246;5.993645451;1.4;;
12.72;43.58;218;0.7;100;12.52874496;13.92082774;5.863662178;1.4;;
12.72;43.61;219;0.7;100;12.55076242;13.94529158;5.883787619;1.4;;
12.72;43.64;220;0.7;100;12.56991376;13.96657084;5.812728976;1.4;;
12.72;43.67;221;0.7;100;12.78480981;14.20534424;6.098458063;1.4;;
12.72;43.7;222;0.7;100;12.59295869;13.99217632;5.838849536;1.4;;
12.72;43.73;223;0.7;100;12.5955593;13.99506589;5.966146249;1.4;;
12.72;43.76;224;0.7;100;12.63575334;14.03972594;5.940355479;1.4;;
12.72;43.79;225;0.7;100;12.702806;14.11422888;5.82934856;1.4;;
12.72;43.82;226;0.7;100;12.64429806;14.04922007;5.899703601;1.4;;
12.72;43.85;227;0.7;100;12.57145122;13.96827913;5.899673208;1.4;;
12.75;43.49;228;0.7;100;12.27642755;13.64047505;6.116983334;1.4;;
12.75;43.52;229;0.7;100;12.35621528;13.72912809;6.038606348;1.4;;
12.75;43.55;230;0.7;100;12.51857299;13.90952554;5.830058958;1.4;;
12.75;43.58;231;0.7;100;12.49246324;13.88051471;6.137544667;1.4;;
12.75;43.61;232;0.7;100;12.63247741;14.03608602;5.730401253;1.4;;
12.75;43.64;233;0.7;100;12.59058639;13.98954043;5.814294619;1.4;;
12.75;43.67;234;0.7;100;12.59709568;13.99677298;5.765655189;1.4;;
12.75;43.7;235;0.7;100;12.59532901;13.99481001;5.860182147;1.4;;
12.75;43.73;236;0.7;100;12.60493634;14.00548482;5.922390496;1.4;;
12.75;43.76;237;0.7;100;12.63067274;14.03408082;5.918105336;1.4;;
12.75;43.79;238;0.7;100;12.65122107;14.0569123;5.88542921;1.4;;
12.75;43.82;239;0.7;100;12.62836964;14.03152182;5.861114635;1.4;;
12.75;43.85;240;0.7;100;12.55939792;13.95488658;5.684896562;1.4;;
12.75;43.88;241;0.7;100;12.21628967;13.57365519;6.010912835;1.4;;
12.75;43.91;242;0.7;100;12.48480799;13.87200888;5.554138808;1.4;;
12.75;43.94;243;0.7;100;12.49772925;13.88636583;5.82472724;1.4;;
12.78;43.37;244;0.7;100;12.36010237;13.73344707;6.692285368;1.4;;
12.78;43.4;245;0.7;100;12.36416313;13.73795903;6.541908015;1.4;;
12.78;43.43;246;0.7;100;12.37020286;13.74466984;6.391531554;1.4;;
12.78;43.46;247;0.7;100;12.39612168;13.77346853;6.257938662;1.4;;
12.78;43.49;248;0.7;100;12.44227602;13.82475113;6.153736193;1.4;;
12.78;43.52;249;0.7;100;12.46611751;13.85124168;6.04099525;1.4;;
12.78;43.55;250;0.7;100;12.58799313;13.98665904;5.806735434;1.4;;
12.78;43.58;251;0.7;100;12.52625431;13.91806035;6.113636582;1.4;;
12.78;43.61;252;0.7;100;12.68273106;14.0919234;5.685270856;1.4;;
12.78;43.64;253;0.7;100;12.62233111;14.02481235;5.804357164;1.4;;
12.78;43.67;254;0.7;100;12.60771213;14.00856903;5.838207806;1.4;;
12.78;43.7;255;0.7;100;12.60791927;14.00879919;5.869606318;1.4;;
12.78;43.73;256;0.7;100;12.62404906;14.02672117;5.883232845;1.4;;
12.78;43.76;257;0.7;100;12.67700475;14.08556083;5.833241347;1.4;;
12.78;43.79;258;0.7;100;12.75991496;14.17768329;5.719879609;1.4;;
12.78;43.82;259;0.7;100;12.68634831;14.09594257;5.743160283;1.4;;
12.78;43.85;260;0.7;100;12.60471851;14.00524279;5.596048329;1.4;;
12.78;43.88;261;0.7;100;12.56997686;13.96664095;5.953589862;1.4;;
12.78;43.91;262;0.7;100;12.54025205;13.93361339;5.501573755;1.4;;
12.78;43.94;263;0.7;100;12.53325789;13.9258421;5.723489823;1.4;;
12.81;43.28;264;0.7;100;12.30383166;13.67092407;7.52899547;1.4;;
12.81;43.31;265;0.7;100;12.34096431;13.71218257;7.772654055;1.4;;
12.81;43.34;266;0.7;100;12.36960321;13.74400357;7.337922144;1.4;;
12.81;43.37;267;0.7;100;12.39009475;13.76677194;6.934305896;1.4;;
12.81;43.4;268;0.7;100;12.39871934;13.77635482;6.680843725;1.4;;
12.81;43.43;269;0.7;100;12.41328714;13.79254127;6.481072509;1.4;;
12.81;43.46;270;0.7;100;12.47627284;13.86252537;6.314941065;1.4;;
12.81;43.49;271;0.7;100;13.0494476;14.49938622;6.192850014;1.4;;
12.81;43.52;272;0.7;100;12.54863152;13.94292391;6.067889475;1.4;;
12.81;43.55;273;0.7;100;12.58883431;13.98759368;5.909165834;1.4;;
12.81;43.58;274;0.7;100;12.69389697;14.10432997;5.728469773;1.4;;
12.81;43.61;275;0.7;100;12.73546081;14.15051201;5.694703069;1.4;;
12.81;43.64;276;0.7;100;12.67835729;14.08706366;5.763127121;1.4;;
12.81;43.67;277;0.7;100;12.64456701;14.0495189;5.804940905;1.4;;
12.81;43.7;278;0.7;100;12.63712476;14.04124973;5.831732683;1.4;;
12.81;43.73;279;0.7;100;12.65513549;14.06126166;5.831052863;1.4;;
12.81;43.76;280;0.7;100;12.77159152;14.19065725;5.698611559;1.4;;
12.81;43.79;281;0.7;100;12.64182411;14.04647123;5.929563587;1.4;;
12.81;43.82;282;0.7;100;12.7906193;14.21179922;5.604288166;1.4;;
12.81;43.85;283;0.7;100;12.66100468;14.06778298;5.62993154;1.4;;
12.81;43.88;284;0.7;100;12.62423705;14.02693006;5.915552457;1.4;;
12.81;43.91;285;0.7;100;12.62885397;14.03205997;5.918321852;1.4;;
12.81;43.94;286;0.7;100;12.59581947;13.99535497;5.617787096;1.4;;
12.84;43.13;287;0.7;100;11.95998848;13.28887608;7.430278705;1.4;;
12.84;43.22;288;0.7;100;12.17765155;13.53072394;7.224512081;1.4;;
12.84;43.25;289;0.7;100;12.2304736;13.58941511;7.344998662;1.4;;
12.84;43.28;290;0.7;100;12.29388131;13.65986812;7.742130435;1.4;;
12.84;43.31;291;0.7;100;12.39319606;13.77021784;10.54754558;1.4;;
12.84;43.34;292;0.7;100;12.40418329;13.78242588;7.594035346;1.4;;
12.84;43.37;293;0.7;100;12.47112931;13.85681034;7.204834594;1.4;;
12.84;43.4;294;0.7;100;12.45208028;13.83564475;6.871534417;1.4;;
12.84;43.43;295;0.7;100;12.44939443;13.83266048;6.598603481;1.4;;
12.84;43.46;296;0.7;100;12.48358066;13.87064518;6.399498122;1.4;;
12.84;43.49;297;0.7;100;12.54207675;13.93564084;6.243565693;1.4;;
12.84;43.52;298;0.7;100;12.55703527;13.95226141;6.1059497;1.4;;
12.84;43.55;299;0.7;100;12.59735756;13.99706396;5.967963041;1.4;;
12.84;43.58;300;0.7;100;12.71089045;14.12321161;5.787840733;1.4;;
12.84;43.61;301;0.7;100;12.6007764;14.00086267;6.033202663;1.4;;
12.84;43.64;302;0.7;100;12.75793082;14.17547869;5.663044056;1.4;;
12.84;43.67;303;0.7;100;12.70849903;14.12055448;5.656330023;1.4;;
12.84;43.7;304;0.7;100;12.68144013;14.09048903;5.73501829;1.4;;
12.84;43.73;305;0.7;100;12.68208065;14.09120072;5.775044431;1.4;;
12.84;43.76;306;0.7;100;12.73225606;14.14695118;5.727026492;1.4;;
12.84;43.79;307;0.7;100;12.81755571;14.24172857;5.612918173;1.4;;
12.84;43.82;308;0.7;100;12.7498;14.16644444;5.650071255;1.4;;
12.84;43.85;309;0.7;100;12.68718305;14.09687005;5.646757923;1.4;;
12.84;43.88;310;0.7;100;12.68299235;14.09221372;5.510401845;1.4;;
12.84;43.91;311;0.7;100;13.08335197;14.53705774;5.877341905;1.4;;
12.84;43.94;312;0.7;100;12.66165123;14.06850136;5.506033717;1.4;;
12.87;43.13;313;0.7;100;11.92445429;13.24939365;7.535083871;1.4;;
12.87;43.16;314;0.7;100;11.99264706;13.3251634;7.374697047;1.4;;
12.87;43.19;315;0.7;100;12.06390129;13.40433477;7.283168216;1.4;;
12.87;43.22;316;0.7;100;12.13047147;13.47830163;7.283103342;1.4;;
12.87;43.25;317;0.7;100;12.18817758;13.54241953;7.382143083;1.4;;
12.87;43.28;318;0.7;100;12.24869254;13.60965838;7.566453612;1.4;;
12.87;43.31;319;0.7;100;12.32108386;13.69009318;7.72773011;1.4;;
12.87;43.34;320;0.7;100;12.43606651;13.81785168;7.563939287;1.4;;
12.87;43.37;321;0.7;100;12.35501826;13.72779807;8.378770674;1.4;;
12.87;43.4;322;0.7;100;12.50364715;13.89294128;7.065853347;1.4;;
12.87;43.43;323;0.7;100;12.47211518;13.85790575;6.696366742;1.4;;
12.87;43.46;324;0.7;100;12.4897252;13.87747245;6.462843172;1.4;;
12.87;43.49;325;0.7;100;12.52173729;13.91304143;6.286294602;1.4;;
12.87;43.52;326;0.7;100;12.55554949;13.95061054;6.136564245;1.4;;
12.87;43.55;327;0.7;100;12.60004421;14.00004912;5.996463643;1.4;;
12.87;43.58;328;0.7;100;12.66933051;14.0770339;5.854472295;1.4;;
12.87;43.61;329;0.7;100;12.75470326;14.17189251;5.714002148;1.4;;
12.87;43.64;330;0.7;100;12.76139982;14.17933313;5.591599494;1.4;;
12.87;43.67;331;0.7;100;13.05053101;14.50059001;5.951905863;1.4;;
12.87;43.7;332;0.7;100;12.73564876;14.15072085;5.594306233;1.4;;
12.87;43.73;333;0.7;100;12.70563749;14.11737499;5.722697675;1.4;;
12.87;43.76;334;0.7;100;12.71430016;14.12700018;5.735015185;1.4;;
12.87;43.79;335;0.7;100;12.72895169;14.14327966;5.709849364;1.4;;
12.87;43.82;336;0.7;100;12.71888042;14.13208936;5.689730763;1.4;;
12.87;43.85;337;0.7;100;12.69893961;14.1099329;5.656830436;1.4;;
12.87;43.88;338;0.7;100;12.69262256;14.10291396;5.584323809;1.4;;
12.87;43.91;339;0.7;100;12.70203127;14.11336808;5.492413663;1.4;;
12.9;43.01;340;0.7;100;11.45608164;12.7289796;7.66078849;1.4;;
12.9;43.07;341;0.7;100;10.75302623;11.94780692;12.60869649;1.4;;
12.9;43.1;342;0.7;100;11.6014432;12.89049244;8.588400368;1.4;;
12.9;43.13;343;0.7;100;11.83991656;13.15546284;7.746542681;1.4;;
12.9;43.16;344;0.7;100;11.94439606;13.27155117;7.454690649;1.4;;
12.9;43.19;345;0.7;100;12.00619956;13.34022173;7.328421621;1.4;;
12.9;43.22;346;0.7;100;12.0568132;13.39645911;7.322248246;1.4;;
12.9;43.25;347;0.7;100;12.11391004;13.45990004;7.488309518;1.4;;
12.9;43.28;348;0.7;100;12.16344072;13.51493413;7.756802831;1.4;;
